year,league,url
2000,American League,https://www.baseball-almanac.com/yearly/yr2000a.shtml
2000,National League,https://www.baseball-almanac.com/yearly/yr2000n.shtml
2001,American League,https://www.baseball-almanac.com/yearly/yr2001a.shtml
2001,National League,https://www.baseball-almanac.com/yearly/yr2001n.shtml
2002,American League,https://www.baseball-almanac.com/yearly/yr2002a.shtml
2002,National League,https://www.baseball-almanac.com/yearly/yr2002n.shtml
2003,American League,https://www.baseball-almanac.com/yearly/yr2003a.shtml
2003,National League,https://www.baseball-almanac.com/yearly/yr2003n.shtml
2004,American League,https://www.baseball-almanac.com/yearly/yr2004a.shtml
2004,National League,https://www.baseball-almanac.com/yearly/yr2004n.shtml
2005,American League,https://www.baseball-almanac.com/yearly/yr2005a.shtml
2005,National League,https://www.baseball-almanac.com/yearly/yr2005n.shtml
2006,American League,https://www.baseball-almanac.com/yearly/yr2006a.shtml
2006,National League,https://www.baseball-almanac.com/yearly/yr2006n.shtml
2007,American League,https://www.baseball-almanac.com/yearly/yr2007a.shtml
2007,National League,https://www.baseball-almanac.com/yearly/yr2007n.shtml
2008,American League,https://www.baseball-almanac.com/yearly/yr2008a.shtml
2008,National League,https://www.baseball-almanac.com/yearly/yr2008n.shtml
2009,American League,https://www.baseball-almanac.com/yearly/yr2009a.shtml
2009,National League,https://www.baseball-almanac.com/yearly/yr2009n.shtml
2010,American League,https://www.baseball-almanac.com/yearly/yr2010a.shtml
2010,National League,https://www.baseball-almanac.com/yearly/yr2010n.shtml
2011,American League,https://www.baseball-almanac.com/yearly/yr2011a.shtml
2011,National League,https://www.baseball-almanac.com/yearly/yr2011n.shtml
2012,American League,https://www.baseball-almanac.com/yearly/yr2012a.shtml
2012,National League,https://www.baseball-almanac.com/yearly/yr2012n.shtml
2013,American League,https://www.baseball-almanac.com/yearly/yr2013a.shtml
2013,National League,https://www.baseball-almanac.com/yearly/yr2013n.shtml
2014,American League,https://www.baseball-almanac.com/yearly/yr2014a.shtml
2014,National League,https://www.baseball-almanac.com/yearly/yr2014n.shtml
2015,American League,https://www.baseball-almanac.com/yearly/yr2015a.shtml
2015,National League,https://www.baseball-almanac.com/yearly/yr2015n.shtml
2016,American League,https://www.baseball-almanac.com/yearly/yr2016a.shtml
2016,National League,https://www.baseball-almanac.com/yearly/yr2016n.shtml
2017,American League,https://www.baseball-almanac.com/yearly/yr2017a.shtml
2017,National League,https://www.baseball-almanac.com/yearly/yr2017n.shtml
2018,American League,https://www.baseball-almanac.com/yearly/yr2018a.shtml
2018,National League,https://www.baseball-almanac.com/yearly/yr2018n.shtml
2019,American League,https://www.baseball-almanac.com/yearly/yr2019a.shtml
2019,National League,https://www.baseball-almanac.com/yearly/yr2019n.shtml
2020,American League,https://www.baseball-almanac.com/yearly/yr2020a.shtml
2020,National League,https://www.baseball-almanac.com/yearly/yr2020n.shtml
2021,American League,https://www.baseball-almanac.com/yearly/yr2021a.shtml
2021,National League,https://www.baseball-almanac.com/yearly/yr2021n.shtml
2022,American League,https://www.baseball-almanac.com/yearly/yr2022a.shtml
2022,National League,https://www.baseball-almanac.com/yearly/yr2022n.shtml
2023,American League,https://www.baseball-almanac.com/yearly/yr2023a.shtml
2023,National League,https://www.baseball-almanac.com/yearly/yr2023n.shtml
2024,American League,https://www.baseball-almanac.com/yearly/yr2024a.shtml
2024,National League,https://www.baseball-almanac.com/yearly/yr2024n.shtml
2025,American League,https://www.baseball-almanac.com/yearly/yr2025a.shtml
2025,National League,https://www.baseball-almanac.com/yearly/yr2025n.shtml
